id,question_es,sql,archetype,archetype_name,pattern,intent,default_chart,tables_used,difficulty,num_tables
95,¿Cuál es el número total de pagos de préstamos realizados?,SELECT COUNT(*) AS total_pagos FROM dbo.LoanPayments WHERE paidAmount > 0,A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
96,¿Cuántos préstamos fueron cancelados?,SELECT COUNT(*) AS prestamos_cancelados FROM dbo.Loans WHERE status = 'canceled',A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
97,¿Cuál es el monto total de retiros?,SELECT SUM(amount) AS total_retiros FROM dbo.Transactions WHERE transactionType = 'withdrawal',A,nivel_puntual,comparacion,nivel_puntual,,Transactions,easy,1
175,¿Cuál es el monto total de transferencias realizadas hoy?,SELECT SUM(amount) AS total_transferencias FROM dbo.Transfers WHERE CAST(occurenceTime AS DATE) = CAST(GETDATE() AS DATE),A,nivel_puntual,comparacion,nivel_puntual,,Transfers,easy,1
176,¿Cuántas cuentas de crédito hay en total?,SELECT COUNT(*) AS total_cuentas_credito FROM dbo.Accounts WHERE accountType = 'credit',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
177,¿Cuál es el saldo promedio de las cuentas corrientes?,SELECT AVG(currentBalance) AS saldo_promedio FROM dbo.Accounts WHERE accountType = 'checking',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
178,¿Cuántos préstamos tienen tasa de interés mayor al 10%?,SELECT COUNT(*) AS prestamos_alta_tasa FROM dbo.Loans WHERE interestRate > 10,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
179,¿Cuál es el monto del préstamo más grande?,SELECT MAX(loanAmount) AS prestamo_maximo FROM dbo.Loans,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
181,¿Cuál es la suma de todos los pagos de principal realizados?,SELECT SUM(principalAmount) AS total_principal FROM dbo.LoanPayments,A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
182,¿Cuántas personas están registradas en el sistema?,SELECT COUNT(*) AS total_personas FROM dbo.People,A,nivel_puntual,comparacion,nivel_puntual,,People,easy,1
183,¿Cuál es el monto promedio de las transacciones de retiro?,SELECT AVG(amount) AS monto_promedio_retiro FROM dbo.Transactions WHERE transactionType = 'withdrawal',A,nivel_puntual,comparacion,nivel_puntual,,Transactions,easy,1
184,¿Cuántos clientes premium hay actualmente?,SELECT COUNT(*) AS clientes_premium FROM dbo.Customers WHERE customerType = 'premium',A,nivel_puntual,comparacion,nivel_puntual,,Customers,easy,1
185,¿Cuál es la tasa de interés promedio de los préstamos hipotecarios?,SELECT AVG(interestRate) AS tasa_promedio FROM dbo.Loans WHERE loanType = 'mortgage',A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
186,¿Cuántas transferencias superan los 5000 dólares?,SELECT COUNT(*) AS transferencias_grandes FROM dbo.Transfers WHERE amount > 5000,A,nivel_puntual,comparacion,nivel_puntual,,Transfers,easy,1
189,¿Cuál es el número total de propietarios de cuentas únicos?,SELECT COUNT(DISTINCT ownerId) AS propietarios_unicos FROM dbo.AccountOwnerships,A,nivel_puntual,comparacion,nivel_puntual,,AccountOwnerships,easy,1
310,¿Cuántos préstamos de auto hay en total?,SELECT COUNT(*) AS total_prestamos_auto FROM dbo.Loans WHERE loanType = 'auto',A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
312,¿Cuántas cuentas tienen saldo mayor a 100000?,SELECT COUNT(*) AS cuentas_alto_saldo FROM dbo.Accounts WHERE currentBalance > 100000,A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
314,¿Cuál es el monto mínimo de préstamo otorgado?,SELECT MIN(loanAmount) AS prestamo_minimo FROM dbo.Loans,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
315,¿Cuál es el total de sucursales activas?,SELECT COUNT(*) AS total_sucursales FROM dbo.Branches,A,nivel_puntual,comparacion,nivel_puntual,,Branches,easy,1
316,¿Cuántos pagos de préstamos se realizaron hoy?,SELECT COUNT(*) AS pagos_hoy FROM dbo.LoanPayments WHERE CAST(PaidDate AS DATE) = CAST(GETDATE() AS DATE),A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
317,¿Cuál es el saldo total de todas las cuentas de crédito?,SELECT SUM(currentBalance) AS saldo_total_credito FROM dbo.Accounts WHERE accountType = 'credit',A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
322,¿Cuál es el monto total en préstamos hipotecarios activos?,SELECT SUM(loanAmount) AS total_hipotecarios FROM dbo.Loans WHERE loanType = 'mortgage' AND status = 'active',A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
324,¿Cuál es el saldo más alto entre todas las cuentas?,SELECT MAX(currentBalance) AS saldo_maximo FROM dbo.Accounts,A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
325,¿Cuántos préstamos tienen plazo mayor a 5 años?,SELECT COUNT(*) AS prestamos_largo_plazo FROM dbo.Loans WHERE term > 60,A,nivel_puntual,comparacion,nivel_puntual,,Loans,easy,1
327,¿Cuántas cuentas fueron creadas este año?,SELECT COUNT(*) AS cuentas_este_anio FROM dbo.Accounts WHERE YEAR(createdAt) = YEAR(GETDATE()),A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
328,¿Cuál es el monto promedio de los pagos de préstamo?,SELECT AVG(paymentAmount) AS pago_promedio FROM dbo.LoanPayments,A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,easy,1
329,¿Cuántos empleados son Branch Managers?,SELECT COUNT(*) AS num_branch_managers FROM dbo.Employees WHERE position = 'Branch Manager',A,nivel_puntual,comparacion,nivel_puntual,,Employees,easy,1
330,¿Cuál es la diferencia entre el saldo más alto y más bajo?,SELECT MAX(currentBalance) - MIN(currentBalance) AS rango_saldos FROM dbo.Accounts,A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
333,¿Cuántas cuentas de ahorro tienen saldo mayor a 25000?,SELECT COUNT(*) AS cuentas_ahorro_alto FROM dbo.Accounts WHERE accountType = 'saving' AND currentBalance > 25000,A,nivel_puntual,comparacion,nivel_puntual,,Accounts,easy,1
7,¿Cuál es la tasa de interés promedio de los préstamos hipotecarios?,SELECT AVG(interestRate) AS tasa_promedio FROM dbo.Loans WHERE loanType = 'mortgage',A,nivel_puntual,comparacion,nivel_puntual,,Loans,medium,1
14,¿Cuántos préstamos personales hay activos?,SELECT COUNT(*) AS prestamos_personales_activos FROM dbo.Loans WHERE loanType = 'personal' AND status = 'active',A,nivel_puntual,comparacion,nivel_puntual,,Loans,medium,1
16,¿Cuántos gerentes de sucursal hay en el banco?,SELECT COUNT(*) AS total_gerentes FROM dbo.Employees WHERE position = 'Branch Manager',A,nivel_puntual,comparacion,nivel_puntual,,Employees,medium,1
17,¿Cuál es el plazo promedio de los préstamos automotrices?,SELECT AVG(term) AS plazo_promedio FROM dbo.Loans WHERE loanType = 'auto',A,nivel_puntual,comparacion,nivel_puntual,,Loans,medium,1
93,¿Cuántas transacciones se realizaron el mes pasado?,"SELECT COUNT(*) AS transacciones_mes_pasado FROM dbo.Transactions WHERE YEAR(transactionDate) = YEAR(DATEADD(MONTH, -1, GETDATE())) AND MONTH(transactionDate) = MONTH(DATEADD(MONTH, -1, GETDATE()))",A,nivel_puntual,comparacion,nivel_puntual,,Transactions,medium,1
180,¿Cuántos empleados trabajan en la sucursal Downtown?,SELECT COUNT(*) AS num_empleados FROM dbo.Employees e JOIN dbo.Branches b ON e.branchId = b.id WHERE b.branchName = 'Downtown',A,nivel_puntual,comparacion,nivel_puntual,,"Employees, Branches",medium,2
187,¿Cuál es el saldo total de cuentas en la sucursal Central?,SELECT SUM(a.currentBalance) AS saldo_total FROM dbo.Accounts a JOIN dbo.Branches b ON a.branchId = b.id WHERE b.branchName = 'Central',A,nivel_puntual,comparacion,nivel_puntual,,"Accounts, Branches",medium,2
188,¿Cuántos pagos de préstamos se han realizado en el último mes?,"SELECT COUNT(*) AS pagos_ultimo_mes FROM dbo.LoanPayments WHERE PaidDate >= DATEADD(MONTH, -1, GETDATE())",A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,medium,1
311,¿Cuál es el monto total de retiros del último mes?,"SELECT SUM(amount) AS total_retiros FROM dbo.Transactions WHERE transactionType = 'withdrawal' AND transactionDate >= DATEADD(MONTH, -1, GETDATE())",A,nivel_puntual,comparacion,nivel_puntual,,Transactions,medium,1
313,¿Cuántas transferencias se realizaron esta semana?,"SELECT COUNT(*) AS transferencias_semana FROM dbo.Transfers WHERE occurenceTime >= DATEADD(WEEK, -1, GETDATE())",A,nivel_puntual,comparacion,nivel_puntual,,Transfers,medium,1
323,¿Cuántos depósitos se realizaron ayer?,"SELECT COUNT(*) AS depositos_ayer FROM dbo.Transactions WHERE transactionType = 'deposit' AND CAST(transactionDate AS DATE) = CAST(DATEADD(DAY, -1, GETDATE()) AS DATE)",A,nivel_puntual,comparacion,nivel_puntual,,Transactions,medium,1
326,¿Cuál es el promedio de transacciones por cuenta?,"SELECT AVG(num_trans) AS promedio_transacciones FROM (SELECT accountId, COUNT(*) AS num_trans FROM dbo.Transactions GROUP BY accountId) AS trans_por_cuenta",A,nivel_puntual,comparacion,nivel_puntual,,Transactions,medium,1
331,¿Cuántas transferencias se hicieron entre cuentas del mismo banco?,SELECT COUNT(*) AS transferencias_internas FROM dbo.Transfers WHERE originAccountId IS NOT NULL AND destinationAccountId IS NOT NULL,A,nivel_puntual,comparacion,nivel_puntual,,Transfers,medium,1
332,¿Cuál es el total de intereses pagados este mes?,SELECT SUM(interestAmount) AS intereses_mes FROM dbo.LoanPayments WHERE MONTH(PaidDate) = MONTH(GETDATE()) AND YEAR(PaidDate) = YEAR(GETDATE()),A,nivel_puntual,comparacion,nivel_puntual,,LoanPayments,medium,1
334,¿Cuál es el monto total de todas las transacciones del último trimestre?,"SELECT SUM(amount) AS total_trimestre FROM dbo.Transactions WHERE transactionDate >= DATEADD(QUARTER, -1, GETDATE())",A,nivel_puntual,comparacion,nivel_puntual,,Transactions,medium,1
335,¿Cuántos clientes tienen más de 3 cuentas?,SELECT COUNT(*) AS clientes_multicuenta FROM (SELECT ownerId FROM dbo.AccountOwnerships GROUP BY ownerId HAVING COUNT(*) > 3) AS multi,A,nivel_puntual,comparacion,nivel_puntual,,AccountOwnerships,medium,1
90,¿Cuál es el total de principal pendiente en préstamos activos?,SELECT SUM(lp.principalAmount) AS principal_pendiente FROM dbo.LoanPayments lp JOIN dbo.Loans l ON lp.loanId = l.id WHERE l.status = 'active' AND lp.paidAmount = 0,A,nivel_puntual,comparacion,nivel_puntual,,"LoanPayments, Loans",hard,2
94,¿Cuál es la edad promedio de los clientes?,"SELECT AVG(DATEDIFF(YEAR, p.DateOfBirth, GETDATE())) AS edad_promedio FROM dbo.People p JOIN dbo.Customers c ON p.id = c.personId",A,nivel_puntual,comparacion,nivel_puntual,,"People, Customers",hard,2
119,¿Cuántos clientes tienen más de un préstamo activo?,SELECT COUNT(*) AS clientes_multiples_prestamos FROM (SELECT customerId FROM dbo.Loans WHERE status = 'active' GROUP BY customerId HAVING COUNT(*) > 1) sub,A,nivel_puntual,comparacion,nivel_puntual,,Loans,hard,1
120,¿Cuál es el monto promedio de préstamos por sucursal?,"SELECT b.branchName, AVG(l.loanAmount) AS monto_promedio FROM dbo.Branches b JOIN dbo.Employees e ON b.id = e.branchId JOIN dbo.Customers c ON e.personId = c.personId JOIN dbo.Loans l ON c.id = l.customerId GROUP BY b.branchName",A,nivel_puntual,comparacion,nivel_puntual,,"Branches, Employees, Customers, Loans",hard,4
121,¿Cuántas cuentas tiene cada cliente en promedio?,"SELECT AVG(num_cuentas * 1.0) AS promedio_cuentas_por_cliente FROM (SELECT ownerId, COUNT(*) AS num_cuentas FROM dbo.AccountOwnerships GROUP BY ownerId) sub",A,nivel_puntual,comparacion,nivel_puntual,,AccountOwnerships,hard,1
194,¿Cuál es la tendencia de apertura de cuentas de ahorro por año?,"SELECT YEAR(createdAt) AS anio, COUNT(*) AS cuentas_ahorro FROM dbo.Accounts WHERE accountType = 'saving' GROUP BY YEAR(createdAt) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,easy,1
21,¿Cómo ha evolucionado el número de cuentas creadas por mes?,"SELECT YEAR(createdAt) AS anio, MONTH(createdAt) AS mes, COUNT(*) AS cuentas_creadas FROM dbo.Accounts GROUP BY YEAR(createdAt), MONTH(createdAt) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
22,¿Cómo ha evolucionado el monto total de transacciones por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, SUM(amount) AS monto_total FROM dbo.Transactions GROUP BY YEAR(transactionDate), MONTH(transactionDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
23,¿Cómo ha cambiado el número de préstamos otorgados por año?,"SELECT YEAR(startDate) AS anio, COUNT(*) AS prestamos_otorgados FROM dbo.Loans GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
24,¿Cuál es la tendencia del monto de transferencias por mes?,"SELECT YEAR(occurenceTime) AS anio, MONTH(occurenceTime) AS mes, SUM(amount) AS monto_transferencias FROM dbo.Transfers GROUP BY YEAR(occurenceTime), MONTH(occurenceTime) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transfers,medium,1
25,¿Cómo ha variado el número de depósitos por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, COUNT(*) AS num_depositos FROM dbo.Transactions WHERE transactionType = 'deposit' GROUP BY YEAR(transactionDate), MONTH(transactionDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
26,¿Cuál ha sido la evolución del monto promedio de préstamos por año?,"SELECT YEAR(startDate) AS anio, AVG(loanAmount) AS monto_promedio FROM dbo.Loans GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
27,¿Cómo ha evolucionado el número de retiros por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, COUNT(*) AS num_retiros FROM dbo.Transactions WHERE transactionType = 'withdrawal' GROUP BY YEAR(transactionDate), MONTH(transactionDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
28,¿Cuál es la tendencia de pagos de préstamos por mes?,"SELECT YEAR(scheduledPaymentDate) AS anio, MONTH(scheduledPaymentDate) AS mes, SUM(paidAmount) AS monto_pagado FROM dbo.LoanPayments GROUP BY YEAR(scheduledPaymentDate), MONTH(scheduledPaymentDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,LoanPayments,medium,1
29,¿Cómo ha evolucionado el número de cuentas cerradas por año?,"SELECT YEAR(closedAt) AS anio, COUNT(*) AS cuentas_cerradas FROM dbo.Accounts WHERE closedAt IS NOT NULL GROUP BY YEAR(closedAt) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
30,¿Cuál es la evolución del monto total de préstamos hipotecarios por año?,"SELECT YEAR(startDate) AS anio, SUM(loanAmount) AS monto_total FROM dbo.Loans WHERE loanType = 'mortgage' GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
31,¿Cómo ha variado el número de transferencias por mes?,"SELECT YEAR(occurenceTime) AS anio, MONTH(occurenceTime) AS mes, COUNT(*) AS num_transferencias FROM dbo.Transfers GROUP BY YEAR(occurenceTime), MONTH(occurenceTime) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transfers,medium,1
32,¿Cuál ha sido la tendencia del monto de depósitos por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, SUM(amount) AS monto_depositos FROM dbo.Transactions WHERE transactionType = 'deposit' GROUP BY YEAR(transactionDate), MONTH(transactionDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
33,¿Cómo ha evolucionado el número de préstamos personales por año?,"SELECT YEAR(startDate) AS anio, COUNT(*) AS num_prestamos FROM dbo.Loans WHERE loanType = 'personal' GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
34,¿Cuál es la evolución del principal pagado en préstamos por mes?,"SELECT YEAR(scheduledPaymentDate) AS anio, MONTH(scheduledPaymentDate) AS mes, SUM(principalAmount) AS principal_pagado FROM dbo.LoanPayments GROUP BY YEAR(scheduledPaymentDate), MONTH(scheduledPaymentDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,LoanPayments,medium,1
35,¿Cómo ha variado la tasa de interés promedio de préstamos por año?,"SELECT YEAR(startDate) AS anio, AVG(interestRate) AS tasa_promedio FROM dbo.Loans GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
98,¿Cómo ha evolucionado el saldo promedio de cuentas por año?,"SELECT YEAR(createdAt) AS anio, AVG(currentBalance) AS saldo_promedio FROM dbo.Accounts GROUP BY YEAR(createdAt) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
100,¿Cómo ha evolucionado el monto de retiros por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, SUM(amount) AS monto_retiros FROM dbo.Transactions WHERE transactionType = 'withdrawal' GROUP BY YEAR(transactionDate), MONTH(transactionDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
101,¿Cuál es la evolución del número de préstamos automotrices por año?,"SELECT YEAR(startDate) AS anio, COUNT(*) AS num_prestamos_auto FROM dbo.Loans WHERE loanType = 'auto' GROUP BY YEAR(startDate) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
170,¿Cómo ha evolucionado el monto promedio de transferencias por trimestre?,"SELECT YEAR(occurenceTime) AS anio, DATEPART(QUARTER, occurenceTime) AS trimestre, AVG(amount) AS monto_promedio FROM dbo.Transfers GROUP BY YEAR(occurenceTime), DATEPART(QUARTER, occurenceTime) ORDER BY anio, trimestre",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transfers,medium,1
171,¿Cuál ha sido la tendencia del número de préstamos por tipo a lo largo de los años?,"SELECT YEAR(l.id) AS anio, loanType, COUNT(*) AS num_prestamos FROM dbo.Loans l GROUP BY YEAR(l.id), loanType ORDER BY anio, loanType",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
172,¿Cómo ha cambiado el saldo total de cuentas de ahorro a lo largo de los años?,"SELECT YEAR(createdAt) AS anio, SUM(currentBalance) AS saldo_total FROM dbo.Accounts WHERE accountType = 'saving' GROUP BY YEAR(createdAt) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
173,¿Cuál es la evolución del monto promedio de préstamos hipotecarios por año?,"SELECT YEAR(l.id) AS anio, AVG(loanAmount) AS monto_promedio FROM dbo.Loans l WHERE loanType = 'mortgage' GROUP BY YEAR(l.id) ORDER BY anio",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Loans,medium,1
190,¿Cómo ha evolucionado el número de clientes nuevos por mes?,"SELECT YEAR(p.DateOfBirth) AS anio, MONTH(p.DateOfBirth) AS mes, COUNT(*) AS nuevos_clientes FROM dbo.Customers c JOIN dbo.People p ON c.personId = p.id GROUP BY YEAR(p.DateOfBirth), MONTH(p.DateOfBirth) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,"Customers, People",medium,2
191,¿Cuál es la tendencia de saldo promedio de cuentas por trimestre?,"SELECT YEAR(createdAt) AS anio, DATEPART(QUARTER, createdAt) AS trimestre, AVG(currentBalance) AS saldo_promedio FROM dbo.Accounts GROUP BY YEAR(createdAt), DATEPART(QUARTER, createdAt) ORDER BY anio, trimestre",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
192,¿Cuál es la evolución del número de transacciones diarias?,"SELECT CAST(transactionDate AS DATE) AS fecha, COUNT(*) AS num_transacciones FROM dbo.Transactions GROUP BY CAST(transactionDate AS DATE) ORDER BY fecha",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
193,¿Cómo ha cambiado el monto promedio de pagos de préstamos por mes?,"SELECT YEAR(PaidDate) AS anio, MONTH(PaidDate) AS mes, AVG(paymentAmount) AS pago_promedio FROM dbo.LoanPayments GROUP BY YEAR(PaidDate), MONTH(PaidDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,LoanPayments,medium,1
195,¿Cuál es la tendencia del monto total de retiros por semana?,"SELECT YEAR(transactionDate) AS anio, DATEPART(WEEK, transactionDate) AS semana, SUM(amount) AS total_retiros FROM dbo.Transactions WHERE transactionType = 'withdrawal' GROUP BY YEAR(transactionDate), DATEPART(WEEK, transactionDate) ORDER BY anio, semana",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
196,¿Cuál es la evolución del número de cuentas cerradas por mes?,"SELECT YEAR(createdAt) AS anio, MONTH(createdAt) AS mes, COUNT(*) AS cuentas_cerradas FROM dbo.Accounts WHERE accountStatus = 'closed' GROUP BY YEAR(createdAt), MONTH(createdAt) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
197,¿Cómo ha cambiado el volumen de transferencias internacionales por mes?,"SELECT YEAR(occurenceTime) AS anio, MONTH(occurenceTime) AS mes, SUM(amount) AS volumen_transferencias FROM dbo.Transfers GROUP BY YEAR(occurenceTime), MONTH(occurenceTime) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transfers,medium,1
198,¿Cómo ha evolucionado el saldo máximo de cuentas por trimestre?,"SELECT YEAR(createdAt) AS anio, DATEPART(QUARTER, createdAt) AS trimestre, MAX(currentBalance) AS saldo_maximo FROM dbo.Accounts GROUP BY YEAR(createdAt), DATEPART(QUARTER, createdAt) ORDER BY anio, trimestre",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
199,¿Cuál es la evolución del monto de intereses pagados por mes?,"SELECT YEAR(PaidDate) AS anio, MONTH(PaidDate) AS mes, SUM(interestAmount) AS total_intereses FROM dbo.LoanPayments GROUP BY YEAR(PaidDate), MONTH(PaidDate) ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,LoanPayments,medium,1
318,¿Cómo ha evolucionado el saldo promedio por tipo de cuenta a lo largo del tiempo?,"SELECT YEAR(createdAt) AS anio, accountType, AVG(currentBalance) AS saldo_promedio FROM dbo.Accounts GROUP BY YEAR(createdAt), accountType ORDER BY anio, accountType",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
319,¿Cuál es la tendencia de número de transacciones por tipo por mes?,"SELECT YEAR(transactionDate) AS anio, MONTH(transactionDate) AS mes, transactionType, COUNT(*) AS num_transacciones FROM dbo.Transactions GROUP BY YEAR(transactionDate), MONTH(transactionDate), transactionType ORDER BY anio, mes, transactionType",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Transactions,medium,1
320,¿Cuál es la evolución del número de cuentas por estado mes a mes?,"SELECT YEAR(createdAt) AS anio, MONTH(createdAt) AS mes, accountStatus, COUNT(*) AS num_cuentas FROM dbo.Accounts GROUP BY YEAR(createdAt), MONTH(createdAt), accountStatus ORDER BY anio, mes",B,evolucion_temporal,comparacion,requiere_visualizacion,line,Accounts,medium,1
